"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","q2.75","q97.5"
"1","beta[1]",-0.12316757651425,-0.122633,0.0677241720320992,0.06666036468,-0.23535645,-0.01359181,1.0000822831483,4611.06244838211,2895.65432364374,-0.2516924825,0.00717381850000004
"2","beta[2]",0.21443009922175,0.214939,0.0984100038193101,0.1000436241,0.055271985,0.37479015,1.00016705746974,3491.47167023062,3068.02541193127,0.03084645475,0.4018534
"3","beta[3]",-0.6791399245,-0.678941,0.0711657690821652,0.0718794132,-0.79678545,-0.56292885,1.00365703820409,4646.71219860198,3132.76179628862,-0.81533492,-0.544031875
"4","beta[4]",0.04034867385,0.04034205,0.00192714856573249,0.00192004113,0.03717793,0.043476025,1.00088839655165,6278.82604097158,3067.80052627009,0.03661016975,0.04411613
"5","beta[5]",-0.06970945636755,-0.07032145,0.0735917871787922,0.07239543213,-0.1890186,0.052727675,1.00143528996329,4248.36753829846,3238.0371919837,-0.2119434725,0.0732577475
"6","beta[6]",-0.023486772875415,-0.02630885,0.13202214500441,0.13415995509,-0.2336686,0.19709875,1.001171944851,3160.4864572925,2825.9844237991,-0.2629801275,0.2469639
"7","beta[7]",0.0078810714926,-0.002961365,0.266798492340671,0.2664113592,-0.40900115,0.462141149999999,0.999593650572585,3085.10112094713,2786.40016784776,-0.48135087,0.55183335
"8","beta[8]",-0.4411446030275,-0.445794,0.156793441931555,0.1590377607,-0.69049715,-0.17590205,1.00095756627328,5067.94088623762,3013.65709744871,-0.72971337,-0.125339975
"9","beta[9]",-0.1016459925995,-0.101812,0.0755759537174433,0.0733983369,-0.22654335,0.0209722049999999,1.00133542355388,4095.87005454376,3138.42759272522,-0.24527066,0.0474931
"10","beta[10]",-0.278956369713872,-0.2813105,0.124265816197958,0.1221054534,-0.4754027,-0.0713854600000002,1.00158432763002,4105.42513716045,2710.22088061827,-0.5126934175,-0.0308847075
"11","beta[11]",0.29524028631665,0.2912525,0.129689018827341,0.1316267106,0.089616645,0.5146758,1.00256645450738,4435.09885036684,2506.31586482597,0.05753443325,0.5627931
"12","beta[12]",-0.121105799154525,-0.122587,0.108442593736838,0.1078954737,-0.2973695,0.0625869099999999,0.999859549332813,4146.80773804268,3030.46351560783,-0.3269497125,0.0995099875
"13","beta[13]",-0.496499597,-0.4975865,0.0985706675478248,0.1003282833,-0.65511165,-0.33355375,1.00122835224345,3820.33649833011,2702.75085900301,-0.6788443575,-0.30007245
"14","beta[14]",0.33695010994775,0.333656,0.145850357984104,0.1478411655,0.1007748,0.57750335,1.00040857270613,3574.06303883526,2764.44431784648,0.06736372275,0.6289207
"15","beta[15]",0.40021441085,0.4012735,0.0901242301346055,0.0898892967,0.2530585,0.55064165,1.00078149633215,4390.47414051302,2995.23527870349,0.223527505,0.58010245
"16","lambda",0.000637798443825,0.0004672005,0.000589533632390946,0.0003472516068,0.00012536055,0.001708778,1.00029645707451,2233.47558040744,2469.22206821299,0.0001017801,0.00227105725
