"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","q2.75","q97.5"
"1","beta[1]",-0.0849985220806,-0.08580815,0.0662909030800527,0.06859271139,-0.19155405,0.022965005,1.00175834124825,4251.11788213827,2891.29860391522,-0.2099774925,0.0467129325
"2","beta[2]",0.176608486618875,0.176673,0.0986740141171061,0.0993260456999999,0.01137916,0.33604505,1.00080435247136,4423.72336219977,3041.12127810006,-0.0116948445,0.367034975
"3","beta[3]",-0.63435570775,-0.6325765,0.0714498576570741,0.0739706205,-0.75137585,-0.51801745,0.999468645850362,4065.86752768177,2842.83694795691,-0.77126605,-0.49841285
"4","beta[4]",0.036621877975,0.0366123,0.001904072635112,0.00189016674,0.033518125,0.039748,0.999642883823248,6141.59883902787,3177.00334127104,0.0329584395,0.0404803425
"5","beta[5]",-0.052700645301125,-0.05240895,0.0775121296746168,0.07685064513,-0.1829899,0.074132025,1.00133793338233,3363.37604675744,3084.62402388317,-0.2027270475,0.100763875
"6","beta[6]",0.00354322745165,0.0007252865,0.133965671127466,0.1358285672751,-0.2132271,0.2259525,1.00111966721065,4152.65180209967,3141.98950808697,-0.247397055,0.268636575
"7","beta[7]",0.0466845851295,0.0337028,0.276764095817638,0.27180031368,-0.38905875,0.51199145,1.00074849237592,1604.09353763766,1335.79078843237,-0.465135525,0.618750625
"8","beta[8]",-0.289059342429075,-0.2935425,0.156281057354608,0.1547070861,-0.53627065,-0.02021324,1.00194499656029,4105.60502351041,2922.55906143839,-0.5825655725,0.0245708
"9","beta[9]",-0.119222160134275,-0.1190545,0.0763627544486118,0.07574254989,-0.2441683,0.00701959399999998,1.00261061566757,3918.92588141195,2876.11551984342,-0.267156505,0.0308815675
"10","beta[10]",-0.23918297047425,-0.239222,0.124016842300813,0.1228126536,-0.444426,-0.0371885350000001,0.999989315201947,4217.99336192753,3034.41904060906,-0.47428433,0.00844751825
"11","beta[11]",0.29470239598375,0.2907435,0.130844570930911,0.1321708248,0.08347276,0.5120169,1.00044340241585,4050.25308382714,2463.20866975117,0.05340155225,0.561895375
"12","beta[12]",-0.09413500339975,-0.0932404,0.10997906178272,0.11034376521,-0.2768383,0.0883692049999999,1.00236785132832,4828.3435805992,3090.55283563997,-0.30645588,0.120517625
"13","beta[13]",-0.446789014875,-0.446463,0.101651480039652,0.1012941972,-0.61306995,-0.27726855,1.00314372592724,4341.33376281991,2934.79611842136,-0.639649465,-0.2407507
"14","beta[14]",0.29265460132475,0.287536,0.147008660948759,0.1495150209,0.05644391,0.5376904,1.00040271779768,3548.93803926045,2823.58844159941,0.01964262,0.584163675
"15","beta[15]",0.3490380672,0.346769,0.0916081259710791,0.0925898526,0.2007194,0.49895085,1.00409290675117,4725.49559903724,3113.83839909916,0.1721953725,0.529689675
"16","lambda",-4.3085828225,-4.307675,0.779294947130523,0.752597412,-5.611074,-3.0461975,1.00034011409792,1255.1704568318,1580.09703962407,-5.8276205,-2.7845475
"17","alpha",0.3300294755,0.329814,0.0104012606895935,0.0104760516,0.3131557,0.3476996,1.00015299418328,4168.57592370803,2618.0121372434,0.310662835,0.3507002
